city,region,country,snapshot,listings_total,eligible,above_superhost,pct_above_superhost,above_guest_favorite,buffer_zero,pct_zero_buffer_of_above,buffer_one_or_less,pct_one_or_less_of_above,median_buffer,within_5_of_superhost,url
buenos-aires,ciudad-autónoma-de-buenos-aires,argentina,2026-06-29,29685,17985,11735,65.2,6730,5440,46.4,8237,70.2,1,989,https://data.insideairbnb.com/argentina/ciudad-autónoma-de-buenos-aires/buenos-aires/2026-06-29/data/listings.csv.gz
barossa-valley,sa,australia,2026-06-29,360,250,203,81.2,146,56,27.6,104,51.2,1,5,https://data.insideairbnb.com/australia/sa/barossa-valley/2026-06-29/data/listings.csv.gz
barwon-south-west-vic,vic,australia,2026-06-29,7095,4518,3146,69.6,2080,1153,36.6,1849,58.8,1,181,https://data.insideairbnb.com/australia/vic/barwon-south-west-vic/2026-06-29/data/listings.csv.gz
brisbane,qld,australia,2026-06-15,6347,4007,2217,55.3,1264,1018,45.9,1552,70.0,1,217,https://data.insideairbnb.com/australia/qld/brisbane/2026-06-15/data/listings.csv.gz
melbourne,vic,australia,2026-06-16,25728,13267,8061,60.8,4734,3572,44.3,5396,66.9,1,696,https://data.insideairbnb.com/australia/vic/melbourne/2026-06-16/data/listings.csv.gz
mid-north-coast,nsw,australia,2026-06-19,5328,3087,2176,70.5,1436,762,35.0,1259,57.9,1,117,https://data.insideairbnb.com/australia/nsw/mid-north-coast/2026-06-19/data/listings.csv.gz
mornington-peninsula,vic,australia,2026-06-22,4458,2651,1955,73.7,1325,793,40.6,1224,62.6,1,113,https://data.insideairbnb.com/australia/vic/mornington-peninsula/2026-06-22/data/listings.csv.gz
northern-rivers,nsw,australia,2026-06-24,6367,3468,2575,74.3,1690,993,38.6,1524,59.2,1,153,https://data.insideairbnb.com/australia/nsw/northern-rivers/2026-06-24/data/listings.csv.gz
sunshine-coast,qld,australia,2026-06-30,7297,4243,3191,75.2,2099,1134,35.5,1815,56.9,1,223,https://data.insideairbnb.com/australia/qld/sunshine-coast/2026-06-30/data/listings.csv.gz
sydney,nsw,australia,2026-06-16,20573,10891,5980,54.9,3390,2868,48.0,4171,69.7,1,565,https://data.insideairbnb.com/australia/nsw/sydney/2026-06-16/data/listings.csv.gz
tasmania,tas,australia,2026-06-15,6618,5211,3913,75.1,2539,1106,28.3,1870,47.8,2,167,https://data.insideairbnb.com/australia/tas/tasmania/2026-06-15/data/listings.csv.gz
western-australia,wa,australia,2026-06-28,11724,8678,5807,66.9,3576,2181,37.6,3423,58.9,1,377,https://data.insideairbnb.com/australia/wa/western-australia/2026-06-28/data/listings.csv.gz
vienna,vienna,austria,2026-06-20,13283,7390,3678,49.8,1951,1702,46.3,2499,67.9,1,402,https://data.insideairbnb.com/austria/vienna/vienna/2026-06-20/data/listings.csv.gz
antwerp,vlg,belgium,2026-06-29,2535,1462,705,48.2,382,318,45.1,486,68.9,1,56,https://data.insideairbnb.com/belgium/vlg/antwerp/2026-06-29/data/listings.csv.gz
brussels,bru,belgium,2026-06-27,5078,3304,1503,45.5,741,706,47.0,1032,68.7,1,131,https://data.insideairbnb.com/belgium/bru/brussels/2026-06-27/data/listings.csv.gz
ghent,vlg,belgium,2026-06-29,1383,942,520,55.2,259,228,43.8,327,62.9,1,43,https://data.insideairbnb.com/belgium/vlg/ghent/2026-06-29/data/listings.csv.gz
belize,bz,belize,2026-06-29,3608,1684,1213,72.0,757,595,49.1,862,71.1,1,100,https://data.insideairbnb.com/belize/bz/belize/2026-06-29/data/listings.csv.gz
rio-de-janeiro,rj,brazil,2026-06-24,48713,22938,16390,71.5,10564,7897,48.2,11983,73.1,1,1123,https://data.insideairbnb.com/brazil/rj/rio-de-janeiro/2026-06-24/data/listings.csv.gz
