country,eligible,above_superhost,pct_above_superhost,pct_zero_buffer_of_above,pct_one_or_less_of_above,pct_guest_favorite
argentina,17985,11735,65.2,46.4,70.2,37.4
australia,60271,39224,65.1,39.9,61.7,40.3
austria,7390,3678,49.8,46.3,67.9,26.4
belgium,5708,2728,47.8,45.9,67.6,24.2
belize,1684,1213,72.0,49.1,71.1,45.0
brazil,47130,32925,69.9,46.5,71.4,44.8
canada,28326,19097,67.4,41.4,64.2,40.9
chile,10198,6808,66.8,47.0,72.6,39.8
china,1808,659,36.4,60.4,80.7,17.0
colombia,8900,4936,55.5,55.3,78.9,29.3
czech-republic,8063,4501,55.8,36.8,56.5,29.5
denmark,10556,7729,73.2,66.9,88.8,48.7
france,55934,32348,57.8,53.1,77.1,33.3
germany,9677,5884,60.8,47.4,69.7,36.9
greece,40528,29788,73.5,45.5,70.7,49.5
hungary,8472,4813,56.8,30.5,48.8,29.7
ireland,24094,17198,71.4,34.4,55.4,47.8
italy,101788,61520,60.4,44.0,65.7,35.3
japan,21367,11291,52.8,53.3,77.4,28.2
kenya,3223,1876,58.2,67.8,88.6,32.5
latvia,2174,1471,67.7,40.0,64.9,39.8
malta,6366,3327,52.3,51.8,74.6,28.5
mexico,18790,11068,58.9,42.7,66.3,29.5
new-zealand,33171,25454,76.7,34.5,55.5,51.3
norway,4986,3720,74.6,62.2,83.8,50.5
portugal,25842,11762,45.5,40.1,59.8,21.5
singapore,558,189,33.9,64.6,85.7,15.1
south-africa,12699,8335,65.6,51.0,74.7,39.9
spain,59937,26442,44.1,46.7,67.5,21.7
sweden,2232,1499,67.2,53.4,77.3,43.1
switzerland,4729,2912,61.6,52.9,75.7,35.8
taiwan,3419,1864,54.5,51.6,74.1,24.3
thailand,10805,6098,56.4,57.1,78.7,31.3
the-netherlands,6931,4754,68.6,57.0,76.2,44.0
turkey,9184,4279,46.6,53.0,76.5,22.9
united-kingdom,47588,25772,54.2,51.5,73.5,32.0
united-states,149154,102347,68.6,36.2,56.9,43.5
