city,eligible,pct_superhost,above_48,pct_of_above_that_are_sh,below_48,pct_of_below_that_are_sh
albany,279,55.9,173,74.6,106,25.5
amsterdam,5366,28.0,3923,30.9,1443,20.0
antwerp,1462,36.1,713,63.3,749,10.3
asheville,2194,72.0,1918,74.7,276,53.6
athens,8696,61.3,5763,75.2,2933,34.1
austin,6617,64.7,5041,74.3,1576,33.9
bangkok,10805,54.7,6146,75.8,4659,26.9
barcelona,7526,38.5,2544,72.8,4982,21.0
barossa-valley,250,62.8,203,70.4,47,29.8
barwon-south-west-vic,4518,56.7,3163,66.6,1355,33.4
belize,1684,65.0,1219,78.3,465,30.3
bergamo,2097,49.5,1380,63.8,717,22.0
berlin,6643,42.5,3982,56.6,2661,21.4
bogotá,8900,49.6,4982,70.0,3918,23.8
bologna,3205,46.8,1799,68.8,1406,18.6
bordeaux,6359,40.5,4005,52.8,2354,19.6
boston,2353,50.1,1329,69.4,1024,25.2
bozeman,405,75.8,363,80.2,42,38.1
brisbane,4007,46.9,2231,69.1,1776,19.0
bristol,1805,44.8,1146,60.4,659,17.8
broward-county,9604,52.5,5676,72.7,3928,23.4
brussels,3299,36.6,1522,60.1,1777,16.5
budapest,8472,50.7,4873,71.6,3599,22.5
buenos-aires,17985,54.6,11823,69.0,6162,27.1
cambridge,758,59.2,466,73.4,292,36.6
cape-town,12699,53.5,8378,66.3,4321,28.6
chicago,5161,61.4,3376,76.8,1785,32.2
clark-county-nv,8435,61.9,5767,74.0,2668,35.7
columbus,1865,63.9,1230,81.1,635,30.6
copenhagen,10556,23.2,7747,26.8,2809,13.3
crete,12532,60.5,9727,67.4,2805,36.8
dallas,3527,58.1,2269,74.2,1258,29.0
denver,3055,68.4,2589,74.1,466,36.7
dublin,3896,43.5,2202,62.3,1694,19.0
edinburgh,4566,58.4,2946,75.9,1620,26.5
euskadi,4262,49.2,2421,69.2,1841,23.0
florence,9345,54.9,5574,74.8,3771,25.5
fort-worth,1268,60.4,915,73.7,353,26.1
geneva,1132,27.8,606,42.2,526,11.2
ghent,942,47.8,527,66.6,415,23.9
girona,8888,36.5,4457,55.2,4431,17.7
greater-manchester,3444,45.6,1893,68.4,1551,17.9
hawaii,18547,66.4,12451,78.6,6096,41.6
hong-kong,1808,33.6,669,59.8,1139,18.2
ireland,20196,55.7,15085,66.5,5111,23.8
istanbul,9184,39.4,4312,63.0,4872,18.4
jersey-city,1196,53.7,670,75.8,526,25.5
lisbon,15715,42.3,6872,69.7,8843,21.0
london,37748,33.3,19949,49.8,17799,14.8
los-angeles,19871,56.3,13856,67.9,6015,29.5
lyon,4803,35.1,2620,51.7,2183,15.2
madrid,13189,34.7,5192,62.4,7997,16.6
malaga,6150,41.4,2556,69.0,3594,21.8
mallorca,7218,35.3,3716,54.1,3502,15.4
malta,6366,43.8,3348,65.4,3018,19.9
melbourne,13267,47.8,8109,64.8,5158,21.1
menorca,1880,44.2,942,59.9,938,28.5
mexico-city,18786,53.8,11193,71.1,7593,28.2
mid-north-coast,3087,54.6,2187,67.9,900,22.1
milan,13896,43.7,7816,63.8,6080,17.9
montreal,5265,51.3,2932,69.7,2333,28.1
mornington-peninsula,2651,57.9,1961,64.8,690,38.3
munich,3028,38.7,1937,49.6,1091,19.5
nairobi,3223,48.4,1882,66.3,1341,23.2
naples,5237,46.2,3035,65.7,2202,19.3
nashville,6724,72.0,5243,81.2,1481,39.2
new-brunswick,2908,63.0,2296,71.7,612,30.2
new-orleans,4506,56.3,3095,68.5,1411,29.7
new-york-city,12004,36.6,6857,49.0,5147,20.1
new-zealand,33171,64.8,25575,72.7,7596,38.2
newark,1064,41.4,467,73.2,597,16.4
northern-rivers,3468,60.9,2583,70.6,885,32.7
oakland,1278,54.9,919,67.7,359,22.0
oslo,4986,36.9,3727,44.4,1259,14.9
ottawa,1498,56.5,960,71.8,538,29.2
pacific-grove,153,49.7,120,56.7,33,24.2
paris,38076,35.5,21653,48.6,16423,18.1
pays-basque,6602,38.2,4266,48.8,2336,18.8
portland,2869,67.9,2443,73.3,426,37.1
porto,10125,47.5,5042,71.9,5083,23.4
prague,8063,57.5,4559,78.9,3504,29.8
puglia,13223,43.8,8607,56.3,4616,20.4
quebec-city,1452,50.8,830,73.0,622,21.2
rhode-island,3462,63.3,2705,71.3,757,35.0
riga,2174,63.2,1478,74.8,696,38.5
rio-de-janeiro,22938,57.8,16464,68.6,6474,30.4
rochester,573,59.3,425,71.1,148,25.7
rome,23981,55.4,14671,72.6,9310,28.2
rotterdam,770,30.1,428,41.6,342,15.8
salem-or,190,73.2,165,79.4,25,32.0
san-diego,8228,67.1,5927,77.6,2301,40.1
san-francisco,3573,63.0,2616,74.1,957,32.6
san-mateo-county,1855,57.7,1348,68.9,507,27.8
santa-clara-county,3534,58.8,2449,70.9,1085,31.5
santa-cruz-county,1275,67.5,977,73.6,298,47.3
santiago,10198,61.6,6853,75.0,3345,34.2
seattle,4927,67.8,3839,78.4,1088,30.5
sevilla,5926,47.4,2784,70.7,3142,26.8
sicily,20415,48.6,12735,63.1,7680,24.5
singapore,551,24.5,192,42.2,359,15.0
south-aegean,16405,58.2,12726,65.5,3679,32.9
stockholm,2232,32.5,1509,41.4,723,14.0
sunshine-coast,4243,67.0,3216,75.4,1027,40.7
sydney,10891,46.8,6025,66.6,4866,22.3
são-paulo,24192,63.5,16636,77.5,7556,32.7
taipei,3419,58.2,1883,78.3,1536,33.6
tasmania,5211,66.6,3937,76.7,1274,35.6
the-hague,721,29.1,390,37.7,331,19.0
thessaloniki,2895,50.3,1712,69.5,1183,22.5
tokyo,21367,61.8,11403,84.1,9964,36.3
toronto,9921,53.1,6910,64.4,3011,27.1
trentino,4060,43.3,2766,54.7,1294,19.1
twin-cities-msa,3482,63.9,2705,72.7,777,33.1
valencia,4844,44.0,2129,72.5,2715,21.7
vancouver,3539,59.4,2492,71.9,1047,29.6
vaud,2158,41.4,1472,48.5,686,26.2
venice,6319,55.6,3594,76.7,2725,27.9
victoria,2545,66.0,2087,73.4,458,32.5
vienna,7390,36.6,3724,57.2,3666,15.7
washington-dc,4078,57.5,2587,73.7,1491,29.3
western-australia,8678,64.4,5844,79.0,2834,34.4
