rating_band,review_band,listings,superhosts,pct_superhost
<4.50,10-24,30855,2271,7.4
<4.50,25-49,16123,859,5.3
<4.50,50-99,9662,447,4.6
<4.50,100-249,5307,271,5.1
<4.50,250+,1323,70,5.3
4.50-4.69,10-24,43751,8731,20.0
4.50-4.69,25-49,33359,6399,19.2
4.50-4.69,50-99,26546,4869,18.3
4.50-4.69,100-249,20204,3889,19.2
4.50-4.69,250+,6970,1548,22.2
4.70-4.79,10-24,34796,11218,32.2
4.70-4.79,25-49,31916,11968,37.5
4.70-4.79,50-99,29754,12302,41.3
4.70-4.79,100-249,25936,11791,45.5
4.70-4.79,250+,9710,5125,52.8
4.80-4.89,10-24,49161,21487,43.7
4.80-4.89,25-49,50430,28286,56.1
4.80-4.89,50-99,49189,32069,65.2
4.80-4.89,100-249,45336,33282,73.4
4.80-4.89,250+,18057,14775,81.8
4.90-4.94,10-24,41191,19631,47.7
4.90-4.94,25-49,31939,21005,65.8
4.90-4.94,50-99,31740,24436,77.0
4.90-4.94,100-249,29123,24887,85.5
4.90-4.94,250+,11250,10373,92.2
4.95+,10-24,67094,35390,52.7
4.95+,25-49,45693,32947,72.1
4.95+,50-99,36781,30292,82.4
4.95+,100-249,28299,25202,89.1
4.95+,250+,9645,9090,94.2
